id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
550437277587873792	550437277587873792	2015-01-01 00:44:08 CET	2015-01-01	00:44:08	+0200	2412361627	swannandswann	swannandswann		Excellent value #legal services Immigration, Big Sand Cay; Call now!  http://t.co/CELbZJkObT #fb	en	[]	['http://swannlaw.tc']	[]	0	0	0	['legal', 'fb']	[]	https://twitter.com/swannandswann/status/550437277587873792	False		0								[]				
550437131836203010	550437131836203010	2015-01-01 00:43:33 CET	2015-01-01	00:43:33	+0200	2908262482	324none	Domestic Violence		@OfficialNYRE This new years 2015 i want fix me only me fix my immigration reform and i want have a boyfriend who love me for who i am.	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/324none/status/550437131836203010	False		0								[]				
550436769364066304	550401375109382144	2015-01-01 00:42:07 CET	2015-01-01	00:42:07	+0200	2954099804	kamara_70	ibrahim kamara		@drpepper. Please @drpepper my name is Ibrahim kamara am à refugee from sierra Leone. With $1000 i can continue my education. Happy holiday	en	[{'screen_name': 'drpepper', 'name': 'dr pepper', 'id': '19720019'}]	[]	[]	0	0	0	[]	[]	https://twitter.com/kamara_70/status/550436769364066304	False		0								[]				
550436718311407617	550380139033681921	2015-01-01 00:41:54 CET	2015-01-01	00:41:54	+0200	2740775537	cereal_keeler	Dr. Tobias Funky		@jbouie He's just another clueless immigrant, I know a few like him. He'll learn soon enough @EdAsante77	en	[{'screen_name': 'edasante77', 'name': 'edasante', 'id': '594244296'}]	[]	[]	1	0	0	[]	[]	https://twitter.com/cereal_keeler/status/550436718311407617	False		0								[]				
550436508650700801	550436508650700801	2015-01-01 00:41:04 CET	2015-01-01	00:41:04	+0200	54673874	thenewnarrative	George Rudolph		News to Obama- Cuban refugees already have rights here. They are not subject to immigration laws.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/thenewnarrative/status/550436508650700801	False		0								[]				
550436466338578435	550436466338578435	2015-01-01 00:40:54 CET	2015-01-01	00:40:54	+0200	49318324	lenavig	Denis		How Obama's immigration plan is expected to roll out  http://t.co/6AGtfNyp8O	en	[]	['http://fb.me/2Z145JptL']	[]	0	0	0	[]	[]	https://twitter.com/lenavig/status/550436466338578435	False		0								[]				
550436386479017984	550436386479017984	2015-01-01 00:40:35 CET	2015-01-01	00:40:35	+0200	17462501	richardgearl	Richard Earl		Canada Immigration News - CanadaVisa Social: Wishing You A Happy New Year!  http://t.co/n5AyE22deY @RichardGEarl	en	[{'screen_name': 'richardgearl', 'name': 'richard earl', 'id': '17462501'}]	['http://owl.li/GEDCW']	[]	0	0	0	[]	[]	https://twitter.com/RichardGEarl/status/550436386479017984	False		0								[]				
550436338693332992	550436338693332992	2015-01-01 00:40:24 CET	2015-01-01	00:40:24	+0200	37906552	richardcruzc	Richard Cruz		#GOP Needs Immigration Reform to Win White House in 2016, Says Sen. Graham  http://t.co/pt3KaXJSij	en	[]	['http://www.latinpost.com/articles/29076/20141229/immigration-reform-news-update-gop-needs-win-white-house-2016.htm']	[]	0	0	1	['gop']	[]	https://twitter.com/RichardCruzC/status/550436338693332992	False		0								[]				
550436295982731265	550436295982731265	2015-01-01 00:40:14 CET	2015-01-01	00:40:14	+0200	352257708	aiyouthdialogue	Aus-IndYouthDialogue		RT @AusHCIndia: Australia Immigration Minister @ScottMorrisonMP welcomes Indian Coast Guard vessel Sankalp to Darwin  http://t.co/5kvE5IorpE	en	[{'screen_name': 'aushcindia', 'name': 'barry o’farrell ao', 'id': '730502304'}, {'screen_name': 'scottmorrisonmp', 'name': 'scott morrison', 'id': '34116377'}]	[]	['https://pbs.twimg.com/media/B4AM-ZMCUAAY-jE.jpg']	0	0	0	[]	[]	https://twitter.com/AIYouthDialogue/status/550436295982731265	False		1	https://pbs.twimg.com/media/B4AM-ZMCUAAY-jE.jpg							[]				
550436236314165249	550436236314165249	2015-01-01 00:40:00 CET	2015-01-01	00:40:00	+0200	62958239	donflynnmrn	Don Flynn		Year in review: the immigration debate | British Politics and Policy at LSE  http://t.co/QLtGwyHaPn	en	[]	['http://blogs.lse.ac.uk/politicsandpolicy/year-in-review-the-immigration-debate/']	[]	0	3	0	[]	[]	https://twitter.com/donflynnmrn/status/550436236314165249	False		0								[]				
550436218396094464	550436218396094464	2015-01-01 00:39:55 CET	2015-01-01	00:39:55	+0200	61188577	drawnlines	Drawnlines Politics		24 States Continue Their Battle Against Obama’s Immigration Amnesty Executive Action  http://t.co/uaYwYn8Tsf  http://t.co/aiYK729Ltz	en	[]	['http://wp.me/p2bAu0-nK6', 'http://fb.me/3WwfBHMRn']	[]	0	0	0	[]	[]	https://twitter.com/Drawnlines/status/550436218396094464	False		0								[]				
550435719034843136	550435719034843136	2015-01-01 00:37:56 CET	2015-01-01	00:37:56	+0200	2259213456	christylara21	christy 🤍		"""immigration rules thoe"" Luis kills me 😂😂😂😂"	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/christylara21/status/550435719034843136	False		0								[]				
550435676991528961	550435676991528961	2015-01-01 00:37:46 CET	2015-01-01	00:37:46	+0200	2646956918	4152ushelp	Andrew Bartlett		My answer to: What width are the acco fasteners needed to file immigration forms?  http://t.co/VI8O1mPREz	en	[]	['http://rpx.me/1/RQWw']	[]	0	0	0	[]	[]	https://twitter.com/4152USHELP/status/550435676991528961	False		0								[]				
550435498205147137	550435498205147137	2015-01-01 00:37:04 CET	2015-01-01	00:37:04	+0200	104019598	workbcpr	WorkBC Powell River		#Immigration #opinion...  http://t.co/fQWpygp4Ji	und	[]	['http://fb.me/3qwk5Zsly']	[]	0	0	0	['immigration', 'opinion']	[]	https://twitter.com/WorkBCPR/status/550435498205147137	False		0								[]				
550435307100061696	550435307100061696	2015-01-01 00:36:18 CET	2015-01-01	00:36:18	+0200	294072179	fifireynaud	reynaud philippe		"Pour rappeler au @FN_officiel que l'immigration à toujours fait partie de l'Histoire de l'Humanité Bonne Année à tous http://t.co/8H9zN0LOjt"	fr	[{'screen_name': 'fn_officiel', 'name': 'front national', 'id': '1002609596513562624'}]	['http://ln.is/www.youtube.com/GCn0W']	[]	0	0	0	[]	[]	https://twitter.com/fifireynaud/status/550435307100061696	False		0								[]				
550435239814639617	550435239814639617	2015-01-01 00:36:02 CET	2015-01-01	00:36:02	+0200	279247113	prioritydate	Priority Date		US Chamber of Commerce to push immigration reform, tax breaks in Congress  http://t.co/MEWbfxqPVE #greencard #immigration	en	[]	['http://dlvr.it/7zTM9K']	[]	0	0	1	['greencard', 'immigration']	[]	https://twitter.com/prioritydate/status/550435239814639617	False		0								[]				
550435120260214784	550433521588641794	2015-01-01 00:35:33 CET	2015-01-01	00:35:33	+0200	633390110	manuelc0814	manuel		@_ErnestM_ yeah smh immigration gonna keep her	en	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/ManuelC0814/status/550435120260214784	False		0								[]				
550435092859199490	550419328647323648	2015-01-01 00:35:27 CET	2015-01-01	00:35:27	+0200	959405664	cjrich38	Ed Richards		@RJGatorEsq @WTPatty  Wonder how folks would react if the US mirrored Mexico's Immigration laws??	en	[{'screen_name': 'wtpatty', 'name': 'conservatopia mayim chayyim 🇺🇸', 'id': '736095344'}]	[]	[]	1	0	1	[]	[]	https://twitter.com/cjrich38/status/550435092859199490	False		0								[]				
550435037015838720	550435037015838720	2015-01-01 00:35:14 CET	2015-01-01	00:35:14	+0200	2720797988	tuitpoliticsus	Politics US		Jeb Bush declines invitation from immigration hard-liner  http://t.co/DI7D8lRq7E #news #politics	en	[]	['http://politics.tusueldo.com/4vo']	[]	0	0	0	['news', 'politics']	[]	https://twitter.com/tuitPoliticsUS/status/550435037015838720	False		0								[]				
550434838394585089	550434838394585089	2015-01-01 00:34:26 CET	2015-01-01	00:34:26	+0200	1507140414	rickschoenherr	Rick Schoenherr		"""@loudobbsnews: What will the #Republican-controlled 114th Congress do to stop #immigration. I'D BE happy if they just try to do something."	en	[{'screen_name': 'loudobbsnews', 'name': 'jhon han', 'id': '717403330369040384'}]	[]	[]	0	0	0	['republican', 'immigration']	[]	https://twitter.com/RickSchoenherr/status/550434838394585089	False		0								[]				
